iter	Logloss
0	0.6554522106
1	0.6287223365
2	0.5960959429
3	0.5595745374
4	0.5072187417
5	0.4805538616
6	0.4476598574
7	0.4350499614
8	0.4239335187
9	0.3972624583
10	0.3889926678
11	0.3791746253
12	0.3593176227
13	0.3526198919
14	0.3361053482
15	0.3267539247
16	0.3218669843
17	0.3147076755
18	0.3028096771
19	0.2949804032
20	0.2887668942
21	0.2829773447
22	0.2793252984
23	0.2775303135
24	0.2736083405
25	0.2719673508
26	0.2703127452
27	0.2661948988
28	0.2656330811
29	0.2651837079
30	0.2578195213
31	0.2550593467
32	0.2469953425
33	0.2428622645
34	0.2389958944
35	0.2376963713
36	0.2362098775
37	0.235653011
38	0.2337285325
39	0.2330968939
40	0.2314328516
41	0.2302313602
42	0.2294016756
43	0.2290962399
44	0.2284444354
45	0.2208165628
46	0.2175269991
47	0.2129305326
48	0.2124917442
49	0.2092223506
50	0.2066130194
51	0.2061640843
52	0.2051626815
53	0.2009598812
54	0.1991474019
55	0.1983002927
56	0.1973517502
57	0.1969547006
58	0.1965566708
59	0.1962462758
60	0.1959345833
61	0.1953813543
62	0.1915577899
63	0.191305062
64	0.1907981997
65	0.1906270231
66	0.1903459963
67	0.189615626
68	0.1880626411
69	0.1873006472
70	0.1861425818
71	0.1858124701
72	0.185172507
73	0.1834554605
74	0.1827318485
75	0.1826369665
76	0.1818127134
77	0.1814305436
78	0.1811572213
79	0.1807239423
80	0.1804798542
81	0.1802035692
82	0.1795914967
83	0.1777391918
84	0.1773402477
85	0.1771819025
86	0.1750650163
87	0.1747083322
88	0.1734646835
89	0.1725170831
90	0.1711387178
91	0.1701011211
92	0.1698929428
93	0.1696739814
94	0.1693563964
95	0.169051041
96	0.1668025854
97	0.1654225285
98	0.1651574562
99	0.1643559875
100	0.1631675277
101	0.1626099603
102	0.1619423764
103	0.1616824685
104	0.1614436778
105	0.1603467663
106	0.1601496762
107	0.1598744557
108	0.159751006
109	0.1595931613
110	0.1578055165
111	0.1575070394
112	0.1574049634
113	0.1564195501
114	0.1552861463
115	0.1550578415
116	0.1548255074
117	0.1545746397
118	0.1543978764
119	0.1543140236
120	0.1541113592
121	0.153459979
122	0.1533463645
123	0.1531268685
124	0.1491119601
125	0.1489520713
126	0.1486828957
127	0.1485880674
128	0.1470827084
129	0.1464450913
130	0.1449166285
131	0.1447079014
132	0.1446186955
133	0.144387358
134	0.1441773686
135	0.1441342992
136	0.1435564105
137	0.1429421865
138	0.1416729643
139	0.1403000901
140	0.1399166233
141	0.1386480701
142	0.137802533
143	0.1375633803
144	0.137066394
145	0.1362093573
146	0.1351663975
147	0.134557089
148	0.1343802451
149	0.1341847005
150	0.1335994524
151	0.1334941343
152	0.1333467331
153	0.1327545538
154	0.1325316366
155	0.1307137253
156	0.130516126
157	0.1303713777
158	0.1300880431
159	0.1296279436
160	0.1294904461
161	0.1294327274
162	0.128537129
163	0.1279296188
164	0.1243589491
165	0.1241641649
166	0.1238983112
167	0.1235997372
168	0.1230179802
169	0.1218095966
170	0.1211260189
171	0.1209440913
172	0.1207782245
173	0.1206209557
174	0.120513066
175	0.1190917762
176	0.117681126
177	0.1167995253
178	0.1161615995
179	0.1148942149
180	0.1146310029
181	0.1144307046
182	0.1133565666
183	0.1119481302
184	0.111188143
185	0.1109432839
186	0.1107117529
187	0.1092800209
188	0.1091580523
189	0.1080580878
190	0.1058798315
191	0.1051304317
192	0.1049941254
193	0.1045414588
194	0.1028443494
195	0.101404002
196	0.1003933837
197	0.09956977375
198	0.09855198921
199	0.09804749048
200	0.09749349569
201	0.09736506593
202	0.09722955702
203	0.09639019592
204	0.09517415477
205	0.09363665718
206	0.09292397303
207	0.09146416174
208	0.09031730775
209	0.08988375965
210	0.08976567992
211	0.08878817659
212	0.08648367629
213	0.08515194482
214	0.08415115706
215	0.08317079382
216	0.08208128725
217	0.08138191411
218	0.08103064243
219	0.07919685783
220	0.07787239473
221	0.07636211564
222	0.07460370227
223	0.07440335815
224	0.07343133324
225	0.07277566983
226	0.07204112053
227	0.07071144213
228	0.07022507389
229	0.06937334395
230	0.06897751137
231	0.06755787751
232	0.06666529623
233	0.06574075397
234	0.06496282605
235	0.06450181411
236	0.06318303997
237	0.06249605054
238	0.0622178858
239	0.06122191683
240	0.05899443803
241	0.05849488346
242	0.05643230753
243	0.05605247226
244	0.05520052194
245	0.05462137281
246	0.05408689086
247	0.05386363276
248	0.05360208013
249	0.05353531035
250	0.05234146249
251	0.05181235457
252	0.05177631588
253	0.05140505067
254	0.05025873175
255	0.04996884344
256	0.04976031916
257	0.04928708153
258	0.04925607347
259	0.04873860842
260	0.04858032726
261	0.04703110138
262	0.04701900234
263	0.04701107938
264	0.04658937695
265	0.04657950845
266	0.04632548211
267	0.04588081923
268	0.04583793677
269	0.04461939623
270	0.04461104535
271	0.04411756354
272	0.04410956988
273	0.04410355078
274	0.04409606924
275	0.04386087752
276	0.04385318945
277	0.04323033302
278	0.04322511404
279	0.04301925289
280	0.04268441335
281	0.0426776738
282	0.04242146311
283	0.04241640838
284	0.04189828505
285	0.0418934944
286	0.04170758568
287	0.04168250574
288	0.04167785687
289	0.0415300137
290	0.04036004428
291	0.03949258404
292	0.03926160608
293	0.03864813361
294	0.03824796787
295	0.03824101377
296	0.0382343324
297	0.03743338919
298	0.03723455994
299	0.03626062889
300	0.03601477865
301	0.03587124832
302	0.03532366432
303	0.03512734529
304	0.0348525821
305	0.03398502164
306	0.03390832601
307	0.03345328848
308	0.03326311965
309	0.03324841358
310	0.03304441717
311	0.0329516249
312	0.03211118588
313	0.03187786243
